Central Pollution Control Board,,,,
LIST OF AQI STATIONS          Date - Time:14-09-2021 15:00:00,,,,
,,,,
S.No.,State,City,Station Name,Current AQI value
221,,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",43.00
222,,Patiala,"Model Town, Patiala - PPCB",30.00
223,,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements",73.00
224,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB",57.00
225,,Alwar,"Moti Doongri, Alwar - RSPCB",54.00
226,,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB",91.00
227,,Jaipur,"Adarsh Nagar, Jaipur - RSPCB",39.00
228,,,"Police Commissionerate, Jaipur - RSPCB",Insufficient data available in last 24 hours.
229,,,"Shastri Nagar, Jaipur - RSPCB",55.00
230,,Jodhpur,"Collectorate, Jodhpur - RSPCB",81.00
231,,Kota,"Shrinath Puram, Kota - RSPCB",42.00
232,,Pali,"Indira Colony Vistar, Pali - RSPCB",52.00
233,,Udaipur,"Ashok Nagar, Udaipur - RSPCB",67.00
234,Tamil Nadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",53.00
235,,,"Arumbakkam, Chennai - TNPCB",46.00
236,,,"Kodungaiyur, Chennai - TNPCB",65.00
237,,,"Manali Village, Chennai - TNPCB",No data available in Last 24 hour.
238,,,"Manali, Chennai - CPCB",58.00
239,,,"Perungudi, Chennai - TNPCB",48.00
240,,,"Royapuram, Chennai - TNPCB",65.00
241,,,"Velachery Res. Area, Chennai - CPCB",69.00
242,,Coimbatore,"SIDCO Kurichi, Coimbatore - TNPCB",No data available in Last 24 hour.
243,,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",78.00
244,,Thoothukudi,"Meelavittan, Thoothukudi - TNPCB",Insufficient data available in last 24 hours.
245,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB",Insufficient data available in last 24 hours.
246,,,"Central University, Hyderabad - TSPCB",24.00
